OID_,COUNT,MEAN_JV,MEAN_LND_VAL,MEAN_LND_SQFOOT,MEAN_ACT_YR_BLT,MEAN_TOT_LVG_AREA,MEAN_WaterAccess,SHAPE_Area,Hwy_NEAR_DIST,Hwy_Acc_NEAR_DIST,Beach_NEAR_DIST,Grocery_NEAR_DIST,A_School_NEAR_DIST,B_School_NEAR_DIST,C_School_NEAR_DIST,Any_School_NEAR_DIST,Lat,Long
54,11.000000000000000,329897.272727273,20170.000000000000000,1260.454545454545496,2003.000000000000000,1610.909090909090992,0.000000000000000,93217.836134053621208,8652.057278611611764,8687.840758309264857,22115.876721206805087,24876.035419707983237,12683.350530911484384,5634.735908918285531,12063.374796992600750,5634.735908918285531,26.3191051,-80.1433640
55,4.000000000000000,399012.5,41805.000000000000000,2090.250000000000000,1985.000000000000000,1634.250000000000000,0.000000000000000,93217.782312721625203,11725.192598779847685,12189.915175712114433,26274.298458021534316,23802.820981925218803,7942.410383238566283,4487.896882392377847,12649.790474379908119,4487.896882392377847,26.3038445,-80.1573486
56,5.000000000000000,361310,25676.000000000000000,7335.399999999999636,1965.400000000000091,1743.400000000000091,0.000000000000000,93217.836131936695892,1333.220162041093090,2012.039524441266167,19637.727312605104089,11211.628331592790346,17076.379526557673671,1830.421941642043294,3631.632517847945110,1830.421941642043294,26.2793102,-80.1297836
57,6.000000000000000,1204046.66666667,210598.333333333343035,9497.500000000000000,1969.333333333333258,2606.166666666666515,0.500000000000000,93217.782314838535967,11521.786555640908773,11644.933574867818606,2574.774709033072668,15280.050410230263878,16575.674575377521251,14928.993378258326629,4216.712036791668652,4216.712036791668652,26.3011360,-80.0836563
58,4.000000000000000,532152.5,22105.000000000000000,1473.500000000000000,1994.000000000000000,1463.500000000000000,0.000000000000000,93217.889951151781133,12289.144207753963201,12292.822340163034823,912.769634092697970,22648.613485514950298,10420.267903887071952,20664.507257482157002,5377.073364764244616,5377.073364764244616,26.3209572,-80.0782928
59,7.000000000000000,288030,19357.142857142858702,1935.714285714285779,1979.428571428571331,1594.142857142857110,0.000000000000000,93217.836134053621208,2104.912922231461835,4702.713699828065728,17621.342200758452236,15034.295207784451122,17595.512912362763018,5115.190358021744942,3987.680076619323700,3987.680076619323700,26.2946529,-80.1296692
60,9.000000000000000,564397.777777778,61321.111111111109494,7665.111111111111313,1958.000000000000000,1742.777777777777828,0.000000000000000,93217.836131936695892,10025.114207854032429,10047.813393486991117,4379.269650993039249,14116.079990157679276,16940.532732152874814,13124.424060079050832,3153.446364954871115,3153.446364954871115,26.2993641,-80.0888748
61,10.000000000000000,309276,18901.000000000000000,7559.800000000000182,1960.599999999999909,1344.700000000000045,0.000000000000000,93217.836134053621208,1352.639488199255084,1378.449557821640610,20300.075680854173697,10536.027173657814274,15904.763944615599030,2539.900502885278001,2968.034309075084366,2539.900502885278001,26.2756996,-80.1298065
62,6.000000000000000,363803.333333333,16993.333333333332121,8496.833333333333940,1967.666666666666742,1691.166666666666742,0.000000000000000,93217.782312721625203,1213.558212525422960,1874.853139536281560,13088.280420807375776,14504.518257501389598,17114.132944019998831,6964.181864476068768,1385.165076340781525,1385.165076340781525,26.2995377,-80.1166229
63,8.000000000000000,290776.25,20000.000000000000000,2000.000000000000000,1978.125000000000000,1559.625000000000000,0.000000000000000,93217.782312721625203,3992.004747281061555,6317.650520058281472,19598.541292098292615,16226.219017892528427,15771.368521032934950,5982.559840133151738,5983.111929293153480,5982.559840133151738,26.2942371,-80.1357422
64,6.000000000000000,172306.666666667,6403.333333333333030,1601.166666666666742,1974.000000000000000,1123.333333333333258,0.000000000000000,93217.889952373981941,1120.312567243394597,1979.394333303221856,12044.637222123648826,18923.222472942499735,12157.850561490166001,11999.302351170486872,2379.803966162750385,2379.803966162750385,26.3130531,-80.1130524
65,8.000000000000000,312348.75,30451.250000000000000,7612.750000000000000,1989.875000000000000,1772.000000000000000,0.000000000000000,93217.782314838535967,4998.050566236109262,5410.240790061617190,8401.140743570951599,22773.755633495748043,7872.331401155059211,17412.198947143959231,2492.137360816334422,2492.137360816334422,26.3247108,-80.1008148
66,5.000000000000000,250152,33884.000000000000000,8470.799999999999272,1965.000000000000000,1262.000000000000000,0.000000000000000,93217.889953268706449,3802.353953093763721,3975.314167137789354,9433.413628256321317,21817.149251783484942,9140.381968991452595,16050.974385211213303,2957.501363575717278,2957.501363575717278,26.3220253,-80.1043091
67,10.000000000000000,481882,37723.000000000000000,5892.500000000000000,1985.700000000000045,1831.200000000000045,0.000000000000000,93217.782312721625203,12735.567629179531650,13297.303324981197875,26558.975274271215312,29634.868760761739395,7988.571885062264300,3928.427318615417789,17088.341764054668602,3928.427318615417789,26.3268528,-80.1563187
68,2.000000000000000,341695,31840.000000000000000,2547.000000000000000,2017.000000000000000,1513.000000000000000,0.000000000000000,93217.889953268706449,1868.228756697143126,5459.061890746625068,14460.944613675999790,11182.654117023930667,19297.489040622080211,3438.474874656867087,2061.965173118830535,2061.965173118830535,26.2891636,-80.1175690
69,13.000000000000000,262528.461538462,7942.307692307692378,3775.307692307692378,1972.769230769230717,1397.692307692307622,0.000000000000000,93217.782312721625203,521.341250118946391,3900.597980575986639,17784.131559453962836,12128.575116326990610,19010.799794131831732,1923.417750567167104,4546.585469044709498,1923.417750567167104,26.2860622,-80.1271286
70,5.000000000000000,465392,70104.000000000000000,8222.000000000000000,1984.400000000000091,2173.400000000000091,0.000000000000000,93217.836132547803572,9704.497145752409779,9943.798494248094357,23325.011705261102179,26600.101215468414011,11432.730547856876001,4996.134626002665755,13794.290468220275216,4996.134626002665755,26.3227348,-80.1468048
71,4.000000000000000,1153760,352810.000000000000000,12573.500000000000000,1969.000000000000000,3088.500000000000000,0.250000000000000,93217.782314838535967,12162.873784061841434,12264.632314786540519,955.482107103469843,19005.718554471837706,13691.982537605450489,17995.122813591657177,5258.484494014405755,5258.484494014405755,26.3105850,-80.0792465
72,9.000000000000000,160928.888888889,4776.666666666666970,1194.333333333333258,1975.000000000000000,1136.666666666666742,0.000000000000000,93217.782314838535967,174.410695472263711,2378.193734414875507,13080.835290252900450,18560.036705596859974,12860.672920167640768,11085.274057921062195,3192.010910572103512,3192.010910572103512,26.3112698,-80.1165314
73,3.000000000000000,243060,13020.000000000000000,6510.000000000000000,1959.000000000000000,1232.000000000000000,0.000000000000000,93217.889952373981941,3707.680462198887199,4728.567236539511214,14249.383397311165027,8633.037047951411296,16976.061209734143631,3407.828004424409301,3742.388016304869325,3407.828004424409301,26.2832699,-80.1132736
74,7.000000000000000,503992.857142857,46494.285714285717404,7749.142857142856883,1987.142857142857110,2034.142857142857110,0.000000000000000,93217.782314838535967,12813.591735674057418,13060.404105511161106,26454.592356302262488,28608.598867847416841,8733.005377299557949,2736.531414441558354,16256.222339538002416,2736.531414441558354,26.3232441,-80.1563416
75,3.000000000000000,559046.666666667,67513.333333333328483,9644.666666666666060,1966.666666666666742,2178.333333333333485,0.000000000000000,93217.836134053621208,8592.434263423137963,8600.284328080340856,4578.830263271544027,21590.046750958048506,9266.528050445254848,18080.458164008716267,1708.657752968726754,1708.657752968726754,26.3205776,-80.0895767
76,3.000000000000000,502560,42273.333333333335759,2113.666666666666515,2022.000000000000000,1909.333333333333258,0.000000000000000,93217.782314838535967,2610.362408704853351,2846.736154740337042,16387.167308823431085,19175.866756899609754,14203.239170737910172,10241.590984934488006,5943.148801736224414,5943.148801736224414,26.3095284,-80.1269531
77,11.000000000000000,327305.454545455,23565.454545454544132,2830.636363636363512,1984.000000000000000,1505.909090909090992,0.000000000000000,93217.836131936695892,15927.907786142775876,16023.785539077136491,29509.962396944993088,29869.199289483516623,6103.155009152166713,1988.626211313104932,18247.865331352888461,1988.626211313104932,26.3201408,-80.1659088
78,7.000000000000000,329497.142857143,16465.714285714286234,8233.000000000000000,1961.285714285714221,1436.571428571428669,0.000000000000000,93217.889951151781133,1697.151919042365080,2252.079634513987912,16723.471877269821562,8582.035595362456661,15893.647981251520832,1455.772225086191611,2102.726457104167366,1455.772225086191611,26.2792454,-80.1193771
79,7.000000000000000,589510,60474.285714285717404,4031.428571428571558,1986.428571428571331,2122.428571428571558,0.000000000000000,93217.889951151781133,12246.732914455473292,12246.732914455473292,830.914320195891150,21718.232687787240138,11277.623942140775398,19988.074718092775584,5354.584279864496239,5354.584279864496239,26.3182507,-80.0783157
80,4.000000000000000,1482160,427460.000000000000000,10686.500000000000000,1974.000000000000000,2990.500000000000000,1.000000000000000,93217.836131936695892,12152.502828207429047,12443.977879306748946,1427.231995880047407,16360.776508115273828,15993.285182829369660,16077.167903065217615,4784.198182509463550,4784.198182509463550,26.3033752,-80.0810394
81,6.000000000000000,1414428.33333333,376515.000000000000000,10611.500000000000000,1976.000000000000000,3280.500000000000000,1.000000000000000,93217.782314838535967,11916.027439889374364,12165.658791739104345,1755.117978472213963,16100.082147232371426,16074.524501174140823,15749.085237774856068,4541.729111495757024,4541.729111495757024,26.3029289,-80.0819092
82,8.000000000000000,242282.5,17030.000000000000000,8515.250000000000000,1958.000000000000000,1039.250000000000000,0.000000000000000,93217.782314838535967,2857.815771169577602,4200.965513088571242,14881.118101555479370,9193.398094400681657,17260.409632554474229,2648.897510375113143,3704.382542158271917,2648.897510375113143,26.2837372,-80.1158752
83,13.000000000000000,317799.230769231,20942.307692307691468,2326.923076923077133,1976.461538461538566,1687.384615384615472,0.000000000000000,93217.889951151781133,6659.109115296428172,8457.061020129591270,22977.601246655103751,17655.895049070852110,13593.290716064728258,7590.849386385008984,6525.325621266283633,6525.325621266283633,26.2902336,-80.1453094
84,3.000000000000000,466573.333333333,30730.000000000000000,7682.000000000000000,1968.666666666666742,1635.000000000000000,0.000000000000000,93217.836134053621208,7445.577580745317391,7452.877933245625172,5607.142820542635491,19803.702322000917775,10773.859561144479812,16087.936016981422654,1191.507009332838379,1191.507009332838379,26.3160877,-80.0930786
85,7.000000000000000,859148.571428571,178108.571428571420256,9378.285714285713766,1957.857142857142890,1983.428571428571331,0.428571428571429,93217.889951151781133,11364.710889526479150,11665.846450294615352,1857.194566588457974,17069.391077704451163,14891.882414303194309,16119.349398996131640,4128.505006232498999,4128.505006232498999,26.3060932,-80.0827484
86,8.000000000000000,622073.75,67271.250000000000000,8408.875000000000000,1957.375000000000000,1856.125000000000000,0.000000000000000,93217.889953268706449,10024.912889164326771,10430.913952349681495,3255.136341194644956,16480.886467370222817,14745.871742846675261,14866.280796775212366,2708.868119582298732,2708.868119582298732,26.3056698,-80.0870895
87,13.000000000000000,318901.538461538,16232.307692307691468,1254.692307692307622,1985.000000000000000,1421.846153846153811,0.000000000000000,93217.782314838535967,12205.510804388160977,12604.560930325942536,25936.622796100804408,28768.181641060673428,8816.742734836547243,3592.611527857455258,16229.283984772684562,3592.611527857455258,26.3250389,-80.1545944
88,4.000000000000000,1580767.5,502380.000000000000000,11542.000000000000000,1965.000000000000000,3078.500000000000000,1.000000000000000,93217.782312721625203,11443.076344754095771,11616.816025777538016,2411.050877895447684,15586.332073537940232,16255.660588053948231,15092.919695558708554,4092.753906042436029,4092.753906042436029,26.3020382,-80.0836487
