OID_,PARCEL_ID,JV,LND_VAL,LND_SQFOOT,ACT_YR_BLT,TOT_LVG_AREA,WaterAccess,Hwy_Acc_NEAR_DIST,Hwy_NEAR_DIST,Beach_Acc_NEAR_DIST,Grocery_NEAR_DIST,Any_School_NEAR_DIST,Lat,Long
34,474236100100.000000000000000,301530.000000000000000,35870.000000000000000,10249.000000000000000,1980.000000000000000,1802.000000000000000,1,24070.581181951005419,2292.383133262044339,11663.623173950580167,24070.581181951005419,5605.925038256509652,26.32736172,-80.10983183
35,474236100110.000000000000000,431790.000000000000000,50890.000000000000000,14539.000000000000000,1976.000000000000000,3347.000000000000000,1,24062.684556167769188,2207.348152354610193,11742.740293006507272,24062.684556167769188,5668.827941732463842,26.32731181,-80.11008875
36,474235130020.000000000000000,2191670.000000000000000,1243560.000000000000000,307052.000000000000000,1985.000000000000000,7132.000000000000000,1,24705.218643530795816,2434.997513841221007,16265.288073776966485,24705.218643530795816,8408.521671659675121,26.3263089,-80.12422092
37,474235130021.000000000000000,949760.000000000000000,253660.000000000000000,62632.000000000000000,1956.000000000000000,5819.000000000000000,1,24934.639518383923132,2414.955499861323460,16288.506734193892044,24934.639518383923132,8189.422340555323899,26.32697731,-80.12420096
38,474235130022.000000000000000,752580.000000000000000,259140.000000000000000,63986.000000000000000,1968.000000000000000,4141.000000000000000,1,25079.216292407414585,2622.072328265162469,16509.738655038381694,25079.216292407414585,8216.590801302876571,26.32720724,-80.12484844
39,474236090150.000000000000000,259020.000000000000000,40420.000000000000000,10105.000000000000000,1980.000000000000000,1269.000000000000000,0,23977.526453099653736,2184.329942511866648,11744.154571444101748,23977.526453099653736,5640.288108840370114,26.32706959,-80.11014419
40,474234050026.000000000000000,325170.000000000000000,32000.000000000000000,1600.000000000000000,1985.000000000000000,1311.000000000000000,0,28565.637550522344100,10468.462309212454784,24323.894143245583109,28565.637550522344100,5637.283781431341595,26.32739025,-80.14882937
41,474234050025.000000000000000,305050.000000000000000,24000.000000000000000,1200.000000000000000,1985.000000000000000,1163.000000000000000,0,28577.740006831128994,10490.624023862594186,24345.959906959942600,28577.740006831128994,5621.787961346853081,26.32739014,-80.14889704
42,474234050024.000000000000000,329380.000000000000000,24000.000000000000000,1200.000000000000000,1985.000000000000000,1265.000000000000000,0,28588.124088368214871,10509.621429311993779,24364.875200605692953,28588.124088368214871,5608.540375635870987,26.32739005,-80.14895505
43,474234050023.000000000000000,288320.000000000000000,24000.000000000000000,1200.000000000000000,1985.000000000000000,1075.000000000000000,0,28598.516386153256462,10528.618197719599266,24383.789944473450305,28598.516386153256462,5595.326158889105500,26.32738996,-80.14901305
44,474234050022.000000000000000,315010.000000000000000,24000.000000000000000,1200.000000000000000,1985.000000000000000,1208.000000000000000,0,28608.917981834834791,10547.615296022297116,24402.705175325641903,28608.917981834834791,5582.145342383845673,26.32738986,-80.14907105
45,474234050021.000000000000000,336070.000000000000000,32000.000000000000000,1600.000000000000000,1985.000000000000000,1255.000000000000000,0,28621.063900034299877,10569.777380829202230,24424.771935865162959,28621.063900034299877,5566.811262879520655,26.32738976,-80.14913872
46,474234050046.000000000000000,340710.000000000000000,32000.000000000000000,1600.000000000000000,1985.000000000000000,1277.000000000000000,0,28645.450787917543494,10614.210194279196003,24469.014047410084459,28645.450787917543494,5536.206823636889567,26.32738954,-80.14927439
47,474234050045.000000000000000,302870.000000000000000,24000.000000000000000,1200.000000000000000,1985.000000000000000,1155.000000000000000,0,28657.632555799114925,10636.371992875707292,24491.081016124720918,28657.632555799114925,5521.012779961052729,26.32738943,-80.14934205
48,474234050044.000000000000000,288540.000000000000000,24000.000000000000000,1200.000000000000000,1985.000000000000000,1075.000000000000000,0,28668.084038211956795,10655.369485439850905,24509.997225462389906,28668.084038211956795,5508.025423115143894,26.32738933,-80.14940006
49,474234050043.000000000000000,288110.000000000000000,24000.000000000000000,1200.000000000000000,1985.000000000000000,1075.000000000000000,0,28678.544206283972017,10674.366323676813408,24528.912809161058249,28678.544206283972017,5495.073753494001721,26.32738924,-80.14945806
50,474234050042.000000000000000,305330.000000000000000,24000.000000000000000,1200.000000000000000,1985.000000000000000,1163.000000000000000,0,28689.013870832477551,10693.363483118841032,24547.828775920093904,28689.013870832477551,5482.157597809480649,26.32738915,-80.14951606
51,474234050041.000000000000000,340940.000000000000000,32000.000000000000000,1600.000000000000000,1985.000000000000000,1277.000000000000000,0,28701.237924987344741,10715.525675056767795,24569.896106932872499,28701.237924987344741,5467.133592879872594,26.32738904,-80.14958373
52,474234050066.000000000000000,373360.000000000000000,32000.000000000000000,1600.000000000000000,1985.000000000000000,1447.000000000000000,0,28725.782530544322071,10759.958659536265259,24614.138965746642498,28725.782530544322071,5437.159792992261828,26.32738882,-80.1497194
53,474234050065.000000000000000,315130.000000000000000,24000.000000000000000,1200.000000000000000,1985.000000000000000,1208.000000000000000,0,28738.042404504274600,10782.120555175886693,24636.205997969220334,28738.042404504274600,5422.283844043023237,26.32738871,-80.14978706
54,474234050064.000000000000000,288440.000000000000000,24000.000000000000000,1200.000000000000000,1985.000000000000000,1075.000000000000000,0,28748.560723779410182,10801.118131537961744,24655.122179244895960,28748.560723779410182,5409.571213561357581,26.32738861,-80.14984507
55,474234050063.000000000000000,296720.000000000000000,24000.000000000000000,1200.000000000000000,1985.000000000000000,1128.000000000000000,0,28759.088651057019888,10820.115356286223687,24674.038146003465954,28759.088651057019888,5396.896733054811193,26.32738852,-80.14990307
56,474234050062.000000000000000,314080.000000000000000,24000.000000000000000,1200.000000000000000,1985.000000000000000,1203.000000000000000,0,28769.624817949166754,10839.112270959500165,24692.953757789779047,28769.624817949166754,5384.259432916157493,26.32738843,-80.14996108
57,474234050061.000000000000000,340070.000000000000000,32000.000000000000000,1600.000000000000000,1985.000000000000000,1275.000000000000000,0,28781.926982360062539,10861.274213258318923,24715.020790015390958,28781.926982360062539,5369.563717223373715,26.32738832,-80.15002874
58,474234050116.000000000000000,340170.000000000000000,32000.000000000000000,1600.000000000000000,1985.000000000000000,1277.000000000000000,0,28806.627540998306358,10905.708042516271234,24759.264246402664867,28806.627540998306358,5340.254429025568243,26.3273881,-80.15016441
59,474234050115.000000000000000,305330.000000000000000,24000.000000000000000,1200.000000000000000,1985.000000000000000,1163.000000000000000,0,28818.964766936369415,10927.869367295357733,24781.330624869562598,28818.964766936369415,5325.714918645880971,26.32738799,-80.15023208
60,474234050114.000000000000000,288690.000000000000000,24000.000000000000000,1200.000000000000000,1985.000000000000000,1075.000000000000000,0,28829.550445157481590,10946.866991335151397,24800.246890418911789,28829.550445157481590,5313.293266692368888,26.3273879,-80.15029008
61,474234050113.000000000000000,311190.000000000000000,24000.000000000000000,1200.000000000000000,1985.000000000000000,1191.000000000000000,0,28840.144299566527479,10965.864304886226819,24819.162800995422003,28840.144299566527479,5300.910571278390307,26.3273878,-80.15034808
62,474234050112.000000000000000,315730.000000000000000,24000.000000000000000,1200.000000000000000,1985.000000000000000,1211.000000000000000,0,28850.747047262819251,10984.861619412407890,24838.078739663189481,28850.747047262819251,5288.567394803208117,26.32738771,-80.15040609
63,474234050111.000000000000000,341120.000000000000000,32000.000000000000000,1600.000000000000000,1985.000000000000000,1277.000000000000000,0,28863.126392230788042,11007.023316998438531,24860.145445007350645,28863.126392230788042,5274.217874365383068,26.3273876,-80.15047375
64,474234050126.000000000000000,340630.000000000000000,32000.000000000000000,1600.000000000000000,1985.000000000000000,1277.000000000000000,0,28887.992225614456402,11051.457328447382679,24904.390295734592655,28887.992225614456402,5245.620264182171013,26.32738741,-80.15060942
65,474234050125.000000000000000,291280.000000000000000,24000.000000000000000,1200.000000000000000,1985.000000000000000,1085.000000000000000,0,28900.403726690532494,11073.619153333071154,24926.456692080671928,28900.403726690532494,5231.432344370254214,26.32738729,-80.15067709
66,474234050124.000000000000000,296700.000000000000000,24000.000000000000000,1200.000000000000000,1985.000000000000000,1132.000000000000000,0,28911.053039387239551,11092.616584765883090,24945.372406019487244,28911.053039387239551,5219.315142129078595,26.32738719,-80.15073509
67,474234050123.000000000000000,290980.000000000000000,24000.000000000000000,1200.000000000000000,1985.000000000000000,1085.000000000000000,0,28921.710912844897393,11111.614024953190892,24964.288119958302559,28921.710912844897393,5207.239069924454270,26.32738709,-80.1507931
68,474234050122.000000000000000,291010.000000000000000,24000.000000000000000,1200.000000000000000,1985.000000000000000,1084.000000000000000,0,28932.376611287472770,11130.611162167457223,24983.203450837092532,28932.376611287472770,5195.204108006190836,26.32738699,-80.1508511
69,474234050121.000000000000000,340720.000000000000000,32000.000000000000000,1600.000000000000000,1985.000000000000000,1277.000000000000000,0,28944.832046267623809,11152.773292194413443,25005.270398786229634,28944.832046267623809,5181.218642870967415,26.32738688,-80.15091877
70,474234050154.000000000000000,392830.000000000000000,32120.000000000000000,1606.000000000000000,1985.000000000000000,1528.000000000000000,0,29028.423613572318573,11302.606858717725117,25154.338513663631602,29028.423613572318573,5087.328337947542423,26.32738307,-80.15137618
71,474234050153.000000000000000,319410.000000000000000,25080.000000000000000,1254.000000000000000,1985.000000000000000,1313.000000000000000,0,29040.685043810452044,11324.268787796821925,25175.907252792250802,29040.685043810452044,5074.100972419719255,26.32738296,-80.15144232
72,474234050152.000000000000000,337140.000000000000000,25080.000000000000000,1254.000000000000000,1985.000000000000000,1400.000000000000000,0,29051.447947113141709,11343.266269430019747,25194.823079095902358,29051.447947113141709,5062.549037506910281,26.32738286,-80.15150033
73,474234050151.000000000000000,368910.000000000000000,32120.000000000000000,1606.000000000000000,1985.000000000000000,1423.000000000000000,0,29063.729976274687942,11364.928218879096676,25216.391818223943119,29063.729976274687942,5049.431235582225781,26.32738275,-80.15156646
74,474234050165.000000000000000,380780.000000000000000,32100.000000000000000,1605.000000000000000,1987.000000000000000,1477.000000000000000,0,29088.884310309986176,11409.255714400722354,25260.526840326467209,29088.884310309986176,5022.760156489141991,26.32738248,-80.15170181
75,474234050345.000000000000000,392140.000000000000000,33080.000000000000000,1654.000000000000000,1988.000000000000000,1521.000000000000000,0,29236.048793655561894,11665.352573213187497,25515.636257955819019,29236.048793655561894,4874.645565361542140,26.32738404,-80.15248378
76,474234050164.000000000000000,318600.000000000000000,25040.000000000000000,1252.000000000000000,1987.000000000000000,1312.000000000000000,0,29101.175905674866954,11430.919075558153054,25282.093705010669510,29101.175905674866954,5009.799328225010868,26.32738228,-80.15176795
77,474234050344.000000000000000,367920.000000000000000,25840.000000000000000,1292.000000000000000,1988.000000000000000,1445.000000000000000,0,29248.490778189519915,11687.015074048145834,25537.205183510512143,29248.490778189519915,4862.454700972348292,26.32738392,-80.15254992
78,474234050163.000000000000000,321830.000000000000000,25020.000000000000000,1251.000000000000000,1987.000000000000000,1327.000000000000000,0,29111.963880062099634,11449.916932964617445,25301.006900964857778,29111.963880062099634,4998.482637114856516,26.32738211,-80.15182595
79,474234050343.000000000000000,322350.000000000000000,25840.000000000000000,1292.000000000000000,1988.000000000000000,1326.000000000000000,0,29259.412035895067675,11706.012757995713400,25556.120925540719327,29259.412035895067675,4851.818890325497705,26.32738382,-80.15260793
80,474234050342.000000000000000,367920.000000000000000,25840.000000000000000,1292.000000000000000,1988.000000000000000,1445.000000000000000,0,29270.340485152955807,11725.010480927505341,25575.036555205973855,29270.340485152955807,4841.233184411482398,26.32738371,-80.15266593
81,474234050162.000000000000000,369530.000000000000000,25020.000000000000000,1251.000000000000000,1987.000000000000000,1461.000000000000000,0,29122.760175000883464,11468.915133141445040,25319.920395706205454,29122.760175000883464,4987.212193480268979,26.32738194,-80.15188396
82,474234050341.000000000000000,373320.000000000000000,33080.000000000000000,1654.000000000000000,1988.000000000000000,1437.000000000000000,0,29282.812309772270964,11746.673000451457483,25596.605508847609599,29282.812309772270964,4829.225925096277024,26.3273836,-80.15273207
83,474234050161.000000000000000,368450.000000000000000,32000.000000000000000,1600.000000000000000,1987.000000000000000,1423.000000000000000,0,29135.080901430213999,11490.576878607176695,25341.485625997927855,29135.080901430213999,4974.419571181944775,26.32738175,-80.15195009
84,474234050175.000000000000000,373640.000000000000000,33300.000000000000000,1665.000000000000000,1986.000000000000000,1438.000000000000000,0,29161.343334741934086,11536.623254393958632,25387.331591536261840,29161.343334741934086,4947.466552531177513,26.32738145,-80.15209068
85,474234050174.000000000000000,318840.000000000000000,24980.000000000000000,1249.000000000000000,1986.000000000000000,1312.000000000000000,0,29174.008708365479833,11558.785575974525273,25409.398455211827240,29174.008708365479833,4934.602140179961680,26.32738134,-80.15215835
86,474234050173.000000000000000,321670.000000000000000,24980.000000000000000,1249.000000000000000,1986.000000000000000,1326.000000000000000,0,29184.875405324590247,11577.783145880044685,25428.314309606157622,29184.875405324590247,4923.628306646251986,26.32738124,-80.15221635
87,474234050172.000000000000000,308440.000000000000000,24980.000000000000000,1249.000000000000000,1986.000000000000000,1326.000000000000000,0,29195.749620306345605,11596.780747580296520,25447.230079727039993,29195.749620306345605,4912.702632274337702,26.32738114,-80.15227436
88,474234050171.000000000000000,400130.000000000000000,33300.000000000000000,1665.000000000000000,1986.000000000000000,1552.000000000000000,0,29208.445237716972770,11618.941778228258045,25469.295663982971746,29208.445237716972770,4900.020120880206377,26.32738102,-80.15234202
89,474234050334.000000000000000,369850.000000000000000,29770.000000000000000,1654.000000000000000,1988.000000000000000,1438.000000000000000,0,29317.815086800783320,11804.003798204832492,25653.946121504039183,29317.815086800783320,4799.731449913411780,26.32738977,-80.15290724
90,474331120120.000000000000000,403150.000000000000000,48730.000000000000000,9282.000000000000000,2009.000000000000000,2138.000000000000000,0,23732.095125963056489,5427.561862487771577,8551.760226327027340,23732.095125963056489,3189.864695718591520,26.32689112,-80.10021697
91,474331120130.000000000000000,265460.000000000000000,50400.000000000000000,9600.000000000000000,2001.000000000000000,1282.000000000000000,0,23732.548733580057160,5368.052727776105712,8609.914148493293396,23732.548733580057160,3222.015628455037586,26.32689424,-80.10039911
92,474234050333.000000000000000,365340.000000000000000,23260.000000000000000,1292.000000000000000,1988.000000000000000,1445.000000000000000,0,29311.041791072129854,11817.168700921962227,25665.139476743021078,29311.041791072129854,4778.108354981142838,26.32734179,-80.15294648
93,474331120170.000000000000000,232200.000000000000000,50400.000000000000000,9600.000000000000000,1962.000000000000000,1244.000000000000000,0,23725.455621466622688,5128.167991160895326,8841.517888509397380,23725.455621466622688,3350.412208874151929,26.32687808,-80.10113157
94,474331120180.000000000000000,272360.000000000000000,36230.000000000000000,6900.000000000000000,1962.000000000000000,1024.000000000000000,0,23746.556597120103106,5068.894348763063135,8905.298229140671538,23746.556597120103106,3402.880232546009665,26.32693592,-80.10131636
95,474331120190.000000000000000,199540.000000000000000,36230.000000000000000,6900.000000000000000,1962.000000000000000,1118.000000000000000,0,23745.314957393413351,5008.922821815810494,8963.258082129093964,23745.314957393413351,3437.406457596145628,26.32693188,-80.10149947
96,474331120200.000000000000000,213380.000000000000000,50750.000000000000000,9666.000000000000000,1990.000000000000000,1075.000000000000000,0,23720.147913795954082,4947.910719400272683,9015.394767081053942,23720.147913795954082,3453.439702303739068,26.32686161,-80.10168169
97,474234010470.000000000000000,493500.000000000000000,98550.000000000000000,8935.000000000000000,1981.000000000000000,2127.000000000000000,0,26623.497545300298952,6718.147350141205607,20579.891997383350827,26623.497545300298952,8648.844634308481545,26.32716492,-80.13736794
98,474234050332.000000000000000,365340.000000000000000,23260.000000000000000,1292.000000000000000,1988.000000000000000,1445.000000000000000,0,29305.113127152770176,11828.734417313462473,25674.955536942259641,29305.113127152770176,4759.145398724513143,26.32729972,-80.1529809
99,474236050560.000000000000000,298760.000000000000000,31040.000000000000000,7760.000000000000000,1970.000000000000000,1401.000000000000000,0,23767.057839912198688,4140.268691170171223,9811.588129717179982,23767.057839912198688,4021.891251984543942,26.32693577,-80.10415562
100,474234050011.000000000000000,332260.000000000000000,28800.000000000000000,1600.000000000000000,1984.000000000000000,1255.000000000000000,0,28480.296954350080341,10385.559218379974482,24235.960468422810663,28480.296954350080341,5663.004218886640956,26.32726062,-80.14857311
101,474234050331.000000000000000,370110.000000000000000,29770.000000000000000,1654.000000000000000,1988.000000000000000,1438.000000000000000,0,29298.366624767542817,11841.946568269018826,25686.149162880043150,29298.366624767542817,4737.522289518848993,26.32725174,-80.15302014
102,474236050830.000000000000000,340930.000000000000000,30740.000000000000000,7686.000000000000000,1970.000000000000000,1401.000000000000000,0,23771.181737543414783,4035.413211671564568,9914.071649984467513,23771.181737543414783,4098.840259043436163,26.32693444,-80.10447614
103,474236050280.000000000000000,332460.000000000000000,30310.000000000000000,7577.000000000000000,1970.000000000000000,1394.000000000000000,0,23778.114887391384400,3880.618836058493798,10065.458645724376765,23778.114887391384400,4214.649944712958131,26.32693247,-80.1049493
104,474236050550.000000000000000,322180.000000000000000,30020.000000000000000,7504.000000000000000,1955.000000000000000,1479.000000000000000,0,23783.384545702803734,3775.759079319335797,10168.072043897382173,23783.384545702803734,4294.505273116863464,26.32693114,-80.10526983
105,474236050120.000000000000000,541730.000000000000000,33950.000000000000000,8488.000000000000000,1960.000000000000000,2680.000000000000000,0,23792.477829786155780,3613.188819708677329,10327.256809579177570,23792.477829786155780,4420.395043558097314,26.3269291,-80.10576676
106,474236040550.000000000000000,183150.000000000000000,26440.000000000000000,6611.000000000000000,1956.000000000000000,890.000000000000000,0,23807.279583828392788,3493.181074279601944,10446.717838452052092,23807.279583828392788,4519.647310329894935,26.32694786,-80.10613485
107,474236040290.000000000000000,212910.000000000000000,34730.000000000000000,8682.000000000000000,1957.000000000000000,1094.000000000000000,0,23810.042229208851495,3323.049284693931895,10611.268026584602922,23810.042229208851495,4649.863223771906632,26.32692155,-80.1066534
108,474236040540.000000000000000,232280.000000000000000,33860.000000000000000,8465.000000000000000,1957.000000000000000,1296.000000000000000,0,23819.709400987801928,3203.235182242898645,10728.997026311095397,23819.709400987801928,4747.433595671959665,26.32692223,-80.10701978
109,474236040200.000000000000000,300290.000000000000000,33990.000000000000000,8497.000000000000000,1957.000000000000000,1743.000000000000000,0,23833.019250797664426,3033.439309008188047,10895.573847549108905,23833.019250797664426,4886.557493681005326,26.3269193,-80.10753875
110,474234010480.000000000000000,459060.000000000000000,100020.000000000000000,10336.000000000000000,1981.000000000000000,2103.000000000000000,0,26572.417369678303658,6725.928071461979926,20578.655960610292823,26572.417369678303658,8617.320384003898653,26.32700099,-80.13738325
111,474233070050.000000000000000,554620.000000000000000,127260.000000000000000,9090.000000000000000,1984.000000000000000,2335.000000000000000,0,29403.391986048180115,12100.874359885714512,25937.586620888363541,29403.391986048180115,4554.715055357325582,26.32709788,-80.15380682
112,474233070060.000000000000000,468190.000000000000000,52250.000000000000000,3732.000000000000000,1984.000000000000000,2301.000000000000000,0,29437.809501210242161,12148.922645860609919,25986.323982381290989,29437.809501210242161,4536.941752603581335,26.3271185,-80.15395413
113,474233070070.000000000000000,476020.000000000000000,53770.000000000000000,3841.000000000000000,1984.000000000000000,2335.000000000000000,0,29453.720588821401179,12178.811827146111682,26015.856332589381054,29453.720588821401179,4520.365822067676163,26.32711287,-80.15404525
114,474233070080.000000000000000,463020.000000000000000,55080.000000000000000,3934.000000000000000,1984.000000000000000,2301.000000000000000,0,29470.266209131368669,12208.678127681449041,26045.454862901366141,29470.266209131368669,4504.593942173142750,26.32710935,-80.15413636
115,474233070090.000000000000000,496210.000000000000000,75080.000000000000000,5363.000000000000000,1984.000000000000000,2335.000000000000000,0,29493.434149171334866,12244.876499548858192,26081.767608009511605,29493.434149171334866,4488.914816677977797,26.3271154,-80.15424707
116,474233070100.000000000000000,565340.000000000000000,80420.000000000000000,5744.000000000000000,1985.000000000000000,2704.000000000000000,0,29520.846148645352514,12289.811453978183636,26126.647093332270742,29520.846148645352514,4468.321947403764170,26.32711828,-80.15438437
