OID_,COUNT,MEAN_JV,MEAN_LND_VAL,MEAN_LND_SQFOOT,MEAN_ACT_YR_BLT,MEAN_TOT_LVG_AREA,MEAN_WaterAccess,SHAPE_Length,SHAPE_Area,Grocery_NEAR_DIST,NEAR_FID,Hwy_Acc_NEAR_DIST,Hwy_NEAR_DIST,A_School_NEAR_DIST,B_School_NEAR_DIST,C_School_NEAR_DIST,Any_School_NEAR_DIST,Lat,Long,Beach_NEAR_DIST
19,7.000000000000000,274285.714285714260768,34711.428571428572468,2479.285714285714221,1983.285714285714221,1174.000000000000000,0.000000000000000,1136.514068037537982,93217.836134053621208,2620.918378205862155,,6950.009421550495063,4858.524250260264125,14916.601572596888218,6673.948085147933853,6825.561776013210874,6673.948085147933853,713745.291710573714226,938476.439559278660454,20400.3841157963
20,7.000000000000000,364077.142857142840512,18541.428571428572468,9271.285714285713766,1964.714285714285779,1538.142857142857110,0.000000000000000,1136.514396119818002,93217.889953268706449,7434.819741493331094,,3829.997025595934247,2289.620923954706996,17364.176054108353128,2134.604310023591552,3679.097255697706714,2134.604310023591552,709808.291710573714226,945295.523617202416062,15369.7684306169
21,2.000000000000000,455200.000000000000000,51650.000000000000000,10570.500000000000000,2000.000000000000000,2147.000000000000000,0.000000000000000,1136.514068037537982,93217.836134053621208,8480.179240855715761,,15412.040126351525032,13986.882935174990052,6860.988723297123215,3923.897249847766489,12169.057055339317230,3923.897249847766489,713909.333377238828689,929100.198979629669338,29633.6532172943
22,3.000000000000000,338880.000000000000000,37453.333333333335759,5350.333333333333030,1980.000000000000000,1681.000000000000000,0.000000000000000,1136.514068037537982,93217.836134053621208,5817.182975321080448,,4441.428669512208216,4388.196901852407791,11360.464660173789525,9872.362017457346155,8478.431114040486136,8478.431114040486136,722767.583377238828689,941033.596044546458870,17869.9880008154
23,4.000000000000000,330197.500000000000000,31785.000000000000000,9082.000000000000000,1964.000000000000000,1385.500000000000000,0.000000000000000,1136.514396119818002,93217.889953268706449,8234.418866530761079,,2609.754381741061479,2187.939684609826145,17319.517725289573718,2690.782304911620486,2888.635686013148188,2690.782304911620486,708003.833377238828689,940465.339051870629191,20464.4989665207
24,8.000000000000000,533852.500000000000000,90000.000000000000000,7500.000000000000000,1959.625000000000000,1610.375000000000000,0.000000000000000,1136.514396119818002,93217.889953268706449,1418.320317745847660,,9407.001795486616174,9401.211713852821049,17684.193534641315637,11976.278681190757197,3344.699141048774436,3344.699141048774436,714729.541710573714226,953819.378616703674197,5527.3602146824
25,10.000000000000000,328152.000000000000000,14167.000000000000000,7083.699999999999818,1960.400000000000091,1539.900000000000091,0.000000000000000,1136.514396127268583,93217.889954490907257,5781.688505191496006,,2830.206657478053330,2395.874889288348641,17407.183894818532281,7121.246354913028881,1518.501869273895181,1518.501869273895181,715221.666710573714226,946716.166117120534182,12031.57864943
26,11.000000000000000,333395.454545454529580,26452.727272727272066,2695.363636363636488,2000.000000000000000,1514.000000000000000,0.000000000000000,1136.514396119818002,93217.889953268706449,7979.463500463829405,,16070.272801652256021,14779.217075506907349,5756.076957347376265,3506.176168747191696,13249.105984845837156,3506.176168747191696,714893.583377238828689,928531.941986953839660,30089.918048339
27,6.000000000000000,229035.000000000000000,24045.000000000000000,6011.333333333333030,1990.500000000000000,1654.666666666666742,0.000000000000000,1136.514396106913182,93217.889951151781133,3704.417907247319363,,4350.455610698273631,3799.218738151771504,14285.383045128688536,11097.415291503613844,484.051172437721618,484.051172437721618,718502.500043906271458,948989.194051371887326,9536.81879391386
28,5.000000000000000,462202.000000000000000,63064.000000000000000,8425.200000000000728,1984.599999999999909,2012.200000000000045,0.000000000000000,1136.514396119818002,93217.889953268706449,273.345002282753342,,9084.624318507158023,8999.955732347874800,16047.034048559649818,12849.297670597881734,1970.814436464721211,1970.814436464721211,716369.958377238828689,953819.378616703674197,4855.45316061701
29,2.000000000000000,287695.000000000000000,10630.000000000000000,1686.000000000000000,1982.000000000000000,1541.000000000000000,0.000000000000000,1136.513739941730591,93217.782312721625203,4580.999375235732259,,5936.838116843360694,3506.770729324853164,16568.068090350967395,4634.758067993159784,5759.621387797831630,4634.758067993159784,711612.750043906271458,939328.825084745883942,20103.7431463897
30,5.000000000000000,897118.000000000000000,181872.000000000000000,8918.799999999999272,1966.000000000000000,2337.000000000000000,0.200000000000000,1136.514068024633389,93217.836131936695892,3670.327671266879861,,12509.670643098119399,12388.633460866114547,16940.534653409769817,15597.896030292587966,5065.146969838294353,5065.146969838294353,716041.875043906271458,957228.920609212131239,2012.36364471219
31,4.000000000000000,374635.000000000000000,28667.500000000000000,7166.500000000000000,1960.000000000000000,1482.250000000000000,0.000000000000000,1136.513739954635412,93217.782314838535967,3482.523488563254887,,4778.702732494678457,4752.816707212388792,16990.762091946366127,9001.202002049518342,2208.060416417240958,2208.060416417240958,715713.791710573714226,949273.322584163281135,9427.95803216526
32,10.000000000000000,262213.000000000000000,16361.000000000000000,8180.300000000000182,1958.000000000000000,1210.900000000000091,0.000000000000000,1136.514068024633389,93217.836131936695892,8271.389371343177118,,2663.949959674510410,1143.521566446117959,16992.172024531697389,823.872653007687177,3211.165954410037557,823.872653007687177,709152.125043906271458,944159.009558943565935,16682.0978197704
33,7.000000000000000,670334.285714285681024,173657.142857142869616,12126.142857142856883,1965.714285714285779,2211.000000000000000,1.000000000000000,1136.514068024633389,93217.836131936695892,3751.171489292257775,,7840.166430382236285,7560.459645710865516,7497.961590350252663,18778.628534063671395,2020.203098195629991,2020.203098195629991,724900.125043906271458,953251.121624027844518,5920.02211909209
34,10.000000000000000,147702.000000000000000,4843.000000000000000,1210.799999999999955,1974.500000000000000,1059.900000000000091,0.000000000000000,1136.514396127268583,93217.889954490907257,6456.106281694164863,,2270.589650566433193,1199.022778130320376,12485.933894818532281,11685.000325475824866,2219.775650419799149,2219.775650419799149,720142.916710573714226,946716.166117120534182,11999.808794245
35,5.000000000000000,185114.000000000000000,18480.000000000000000,5071.800000000000182,1976.799999999999955,1101.599999999999909,0.000000000000000,1136.513739954635412,93217.782314838535967,3508.435814019452209,,4668.315503604244441,4035.694444970747554,14105.720772188418778,11384.710934828563040,430.120853576490617,430.120853576490617,718666.541710573714226,949273.322584163281135,9269.56508307477
36,7.000000000000000,479190.000000000000000,48620.000000000000000,8103.142857142856883,1985.571428571428669,1906.714285714285779,0.000000000000000,1136.513739954635412,93217.782314838535967,2183.368558753328216,,14717.282902664026551,14535.507954943037475,7708.311903893165436,2047.757173136893471,17455.512602744987817,2047.757173136893471,723751.833377238828689,930804.970085244742222,28137.8474449636
37,3.000000000000000,376023.333333333313931,14000.000000000000000,7000.000000000000000,1973.666666666666742,1561.000000000000000,0.000000000000000,1136.514396119818002,93217.889953268706449,4565.590676788799101,,784.502824904882800,655.143711806763349,15990.347490932623259,7983.984608900155763,2535.290609419762404,2535.290609419762404,716698.041710573714226,945295.523617202416062,13233.3121653886
38,17.000000000000000,265507.647058823553380,6697.647058823529733,3350.588235294117567,1975.176470588235361,1382.117647058823422,0.000000000000000,1136.514396119818002,93217.889953268706449,6166.695657285114066,,3794.468210145949342,780.285747858105879,18957.831026754989580,1951.020229614292248,4864.400726534408932,1951.020229614292248,710464.458377238828689,941885.981551786884665,18110.0802611908
39,18.000000000000000,262082.777777777781012,8603.888888888888687,860.388888888888914,1983.222222222222172,1225.388888888888914,0.000000000000000,1136.514068037537982,93217.836134053621208,4744.268818926919266,,5640.159128091601815,3190.973237584297749,16895.718104758409027,4307.955143895087531,5648.208630447381438,4307.955143895087531,711448.708377238828689,939612.953544630203396,19883.9934344238
40,15.000000000000000,435621.333333333313931,42816.000000000000000,2140.800000000000182,2021.000000000000000,1892.066666666666606,0.000000000000000,1136.514068037537982,93217.836134053621208,2771.861953928636012,,3828.335601533690351,3555.919524816845296,14039.979897005789098,10257.042558974926578,6833.569077442833077,6833.569077442833077,719650.791710573714226,941317.724559111054987,17285.1410444754
41,4.000000000000000,778197.500000000000000,109802.500000000000000,10980.250000000000000,1979.250000000000000,3480.750000000000000,0.000000000000000,1136.513739954635412,93217.782314838535967,5951.543250237465145,,5602.132603282666423,5146.829091786686149,10604.921209532043576,9342.266539616297450,9925.720835400186843,9342.266539616297450,724243.958377238828689,940181.210519079118967,18817.3587274491
42,14.000000000000000,618345.000000000000000,18958.571428571427532,4739.857142857143117,2020.000000000000000,2530.285714285714221,0.000000000000000,1136.514068037538209,93217.836134053621208,7753.840107786024419,,4601.873033481479069,4169.339238529100840,17489.671827066809783,4569.759492850947026,2578.001803445332826,2578.001803445332826,708495.958377238828689,938476.439559278660454,22026.410397213
43,24.000000000000000,276572.500000000000000,6213.333333333333030,3108.666666666666515,1979.333333333333258,1381.541666666666742,0.000000000000000,1136.513739941730591,93217.782312721625203,5912.612440929047807,,4027.165498650472273,1084.228209262564405,19040.759356840229884,2261.505277740134716,4965.481520366949553,2261.505277740134716,710628.500043906271458,941601.853018995374441,18307.0401679819
44,3.000000000000000,402473.333333333313931,32453.333333333332121,8112.666666666666970,1967.333333333333258,1517.666666666666742,0.000000000000000,1136.514068037537982,93217.836134053621208,611.880705579102937,,7043.087443519772023,6872.365793306666092,15209.645661496768298,11837.293604783189949,594.829428218941416,594.829428218941416,717190.166710573714226,951830.479124111589044,6679.85280926595
45,3.000000000000000,372373.333333333313931,16000.000000000000000,8002.000000000000000,1973.333333333333258,1757.000000000000000,0.000000000000000,1136.514396119818002,93217.889953268706449,6135.892087926605200,,3394.273728256607683,3115.211457286427049,15433.849273653540877,2845.987001069589951,2006.794950447483188,2006.794950447483188,708003.833377238828689,946147.909051535651088,15665.6717160211
46,9.000000000000000,304792.222222222248092,19750.000000000000000,2083.333333333333485,1976.555555555555657,1487.333333333333258,0.000000000000000,1136.514068033812919,93217.836133442528080,5648.180577335833732,,9231.297876131155135,7526.689998688094420,12778.208038367230984,8432.535576925656642,6992.791227642371268,6992.791227642371268,712268.916710573714226,935351.026044880622067,23767.3462964694
47,13.000000000000000,390909.230769230751321,42827.692307692304894,6675.076923076922867,1986.230769230769283,1727.384615384615472,0.000000000000000,1136.513739941730591,93217.782312721625203,3775.094629823105151,,16557.849516164140368,16479.569092164951144,5656.169713202808452,2461.772757265920973,18745.472528213249461,2461.772757265920973,722931.625043906271458,928816.070519745349884,30077.3147095992
48,6.000000000000000,558108.333333333372138,22011.666666666667879,5503.000000000000000,2020.000000000000000,2190.833333333333485,0.000000000000000,1136.514068037538209,93217.836134053621208,7580.841114044803362,,6100.876339870401353,5582.543945233504928,16063.986221994555308,5983.409618575165041,3304.284916329378120,3304.284916329378120,708988.083377238828689,937055.797059362288564,23135.2703832868
49,2.000000000000000,1213100.000000000000000,363980.000000000000000,9099.500000000000000,1980.000000000000000,2898.500000000000000,1.000000000000000,1136.513739954635412,93217.782314838535967,1153.701393635659088,,9124.371669240163101,9124.371669240163101,10022.228026825239795,17929.627887600599934,2225.909791475217389,2225.909791475217389,722603.541710573714226,954955.892583828303032,3960.60500918885
50,7.000000000000000,657317.142857142840512,64390.000000000000000,8048.571428571428442,1960.857142857142890,1908.428571428571331,0.000000000000000,1136.514068024633389,93217.836131936695892,2014.459153404315884,,10692.378473297729215,10419.300398246818077,14210.531055114926858,15715.138270548035507,3323.509968718341497,3323.509968718341497,718502.500043906271458,955808.278109295759350,2768.82823881472
51,4.000000000000000,889722.500000000000000,279430.000000000000000,9931.500000000000000,1961.750000000000000,2194.500000000000000,0.750000000000000,1136.513739941730591,93217.782312721625203,2527.520938067967563,,11587.919938502622244,11206.945712095408453,15297.669947166552447,15609.932012826229766,3866.810186884069481,3866.810186884069481,717518.250043906271458,956376.535083744674921,2122.04265728452
52,11.000000000000000,255693.636363636353053,24654.545454545455868,6163.636363636363967,1970.909090909090992,1640.090909090909008,0.000000000000000,1136.513739954635412,93217.782314838535967,6775.061919437610413,,3605.148602168806974,3002.791591745140977,8264.585412361626368,16512.458804998641426,4058.513807393654133,4058.513807393654133,724572.041710573714226,948705.065518580377102,10354.4820315944
53,5.000000000000000,477580.000000000000000,69472.000000000000000,10164.399999999999636,1983.599999999999909,2053.800000000000182,0.000000000000000,1136.513739941730591,93217.782312721625203,4027.684032809876499,,16712.796011516675208,16510.301680005006347,6332.407880781655876,3071.652744389361033,19231.406344275630545,3071.652744389361033,723915.875043906271458,928816.070519745349884,30132.833508648
54,11.000000000000000,329897.272727272706106,20170.000000000000000,1260.454545454545496,2003.000000000000000,1610.909090909090992,0.000000000000000,1136.514068037538209,93217.836134053621208,2405.445636574519540,,8687.840758309264857,8652.057278611611764,12683.350530911484384,5634.735908918285531,12063.374796992600750,5634.735908918285531,722603.541710573714226,936771.668544797576033,22115.8767212068
55,4.000000000000000,399012.500000000000000,41805.000000000000000,2090.250000000000000,1985.000000000000000,1634.250000000000000,0.000000000000000,1136.513739941730591,93217.782312721625203,4357.963468512935833,,12189.915175712114433,11725.192598779847685,7942.410383238566283,4487.896882392377847,12649.790474379908119,4487.896882392377847,717026.125043906271458,932225.612585160997696,26274.2984580215
56,5.000000000000000,361310.000000000000000,25676.000000000000000,7335.399999999999636,1965.400000000000091,1743.400000000000091,0.000000000000000,1136.514068024633389,93217.836131936695892,8206.254879368299953,,2012.039524441266167,1333.220162041093090,17076.379526557673671,1830.421941642043294,3631.632517847945110,1830.421941642043294,708167.875043906271458,941317.724559111054987,19637.7273126051
57,5.000000000000000,981866.000000000000000,185174.000000000000000,9708.399999999999636,1970.000000000000000,2492.400000000000091,0.400000000000000,1136.513739954635412,93217.782314838535967,2811.638724702690524,,11644.933574867818606,11521.786555640908773,16575.674575377521251,14928.993378258326629,4216.712036791668652,4216.712036791668652,716205.916710573714226,956376.535083744674921,2574.77470903307
58,4.000000000000000,532152.500000000000000,22105.000000000000000,1473.500000000000000,1994.000000000000000,1463.500000000000000,0.000000000000000,1136.514396106913182,93217.889951151781133,3731.383961511924554,,12292.822340163034823,12289.144207753963201,10420.267903887071952,20664.507257482157002,5377.073364764244616,5377.073364764244616,723423.750043906271458,958081.306116452440619,912.769634092698
59,7.000000000000000,288030.000000000000000,19357.142857142858702,1935.714285714285779,1979.428571428571331,1594.142857142857110,0.000000000000000,1136.514068037537982,93217.836134053621208,2969.823106924955027,,4702.713699828065728,2104.912922231461835,17595.512912362763018,5115.190358021744942,3987.680076619323700,3987.680076619323700,713745.291710573714226,941317.724559111054987,17621.3422007585
60,9.000000000000000,564397.777777777751908,61321.111111111109494,7665.111111111111313,1958.000000000000000,1742.777777777777828,0.000000000000000,1136.514068024633389,93217.836131936695892,1317.309934973184454,,10047.813393486991117,10025.114207854032429,16940.532732152874814,13124.424060079050832,3153.446364954871115,3153.446364954871115,715549.750043906271458,954671.764123944099993,4379.26965099304
61,10.000000000000000,309276.000000000000000,18901.000000000000000,7559.800000000000182,1960.599999999999909,1344.700000000000045,0.000000000000000,1136.514068037537982,93217.836134053621208,9493.578263269229865,,1378.449557821640610,1352.639488199255084,15904.763944615599030,2539.900502885278001,2968.034309075084366,2539.900502885278001,706855.541710573714226,941317.724559111054987,20300.0756808542
62,6.000000000000000,363803.333333333313931,16993.333333333332121,8496.833333333333940,1967.666666666666742,1691.166666666666742,0.000000000000000,1136.513739941730591,93217.782312721625203,5007.166634879373305,,1874.853139536281560,1213.558212525422960,17114.132944019998831,6964.181864476068768,1385.165076340781525,1385.165076340781525,715549.750043906271458,945579.652149993926287,13088.2804208074
63,8.000000000000000,290776.250000000000000,20000.000000000000000,2000.000000000000000,1978.125000000000000,1559.625000000000000,0.000000000000000,1136.513739941730591,93217.782312721625203,2613.089153462759896,,6317.650520058281472,3992.004747281061555,15771.368521032934950,5982.559840133151738,5983.111929293153480,5982.559840133151738,713581.250043906271458,939328.825084745883942,19598.5412920983
64,6.000000000000000,172306.666666666656965,6403.333333333333030,1601.166666666666742,1974.000000000000000,1123.333333333333258,0.000000000000000,1136.514396114363763,93217.889952373981941,6598.302232684744922,,1979.394333303221856,1120.312567243394597,12157.850561490166001,11999.302351170486872,2379.803966162750385,2379.803966162750385,720471.000043906271458,946716.166117120534182,12044.6372221236
65,8.000000000000000,312348.750000000000000,30451.250000000000000,7612.750000000000000,1989.875000000000000,1772.000000000000000,0.000000000000000,1136.513739954635412,93217.782314838535967,5200.271991933002937,,5410.240790061617190,4998.050566236109262,7872.331401155059211,17412.198947143959231,2492.137360816334422,2492.137360816334422,724736.083377238828689,950693.965084079653025,8401.14074357095
66,5.000000000000000,250152.000000000000000,33884.000000000000000,8470.799999999999272,1965.000000000000000,1262.000000000000000,0.000000000000000,1136.514396119818002,93217.889953268706449,5640.054997743450258,,3975.314167137789354,3802.353953093763721,9140.381968991452595,16050.974385211213303,2957.501363575717278,2957.501363575717278,723751.833377238828689,949557.451116954907775,9433.41362825632
67,10.000000000000000,481882.000000000000000,37723.000000000000000,5892.500000000000000,1985.700000000000045,1831.200000000000045,0.000000000000000,1136.513739941730591,93217.782312721625203,2809.250541255648841,,13297.303324981197875,12735.567629179531650,7988.571885062264300,3928.427318615417789,17088.341764054668602,3928.427318615417789,725392.250043906271458,932509.740953911095858,26558.9752742712
68,2.000000000000000,341695.000000000000000,31840.000000000000000,2547.000000000000000,2017.000000000000000,1513.000000000000000,0.000000000000000,1136.514396119818002,93217.889953268706449,6731.915929725289061,,5459.061890746625068,1868.228756697143126,19297.489040622080211,3438.474874656867087,2061.965173118830535,2061.965173118830535,711776.791710573714226,945295.523617202416062,14460.944613676
69,13.000000000000000,262528.461538461560849,7942.307692307692378,3775.307692307692378,1972.769230769230717,1397.692307692307622,0.000000000000000,1136.513739941730591,93217.782312721625203,6128.107988180784560,,3900.597980575986639,521.341250118946391,19010.799794131831732,1923.417750567167104,4546.585469044709498,1923.417750567167104,710628.500043906271458,942170.110084578511305,17784.131559454
70,5.000000000000000,465392.000000000000000,70104.000000000000000,8222.000000000000000,1984.400000000000091,2173.400000000000091,0.000000000000000,1136.514068028358679,93217.836132547803572,1594.408039898912421,,9943.798494248094357,9704.497145752409779,11432.730547856876001,4996.134626002665755,13794.290468220275216,4996.134626002665755,723915.875043906271458,935635.154559444985352,23325.0117052611
71,3.000000000000000,896646.666666666627862,191976.666666666656965,12798.333333333333940,1973.000000000000000,2527.666666666666515,0.000000000000000,1136.513739954635412,93217.782314838535967,3232.494341995107789,,12264.632314786540519,12162.873784061841434,13691.982537605450489,17995.122813591657177,5258.484494014405755,5258.484494014405755,719650.791710573714226,957797.177583660930395,955.48210710347
72,9.000000000000000,160928.888888888875954,4776.666666666666970,1194.333333333333258,1975.000000000000000,1136.666666666666742,0.000000000000000,1136.513739954635412,93217.782314838535967,5706.443227229928198,,2378.193734414875507,174.410695472263711,12860.672920167640768,11085.274057921062195,3192.010910572103512,3192.010910572103512,719814.833377238828689,945579.652149993926287,13080.8352902529
73,3.000000000000000,243060.000000000000000,13020.000000000000000,6510.000000000000000,1959.000000000000000,1232.000000000000000,0.000000000000000,1136.514396114363763,93217.889952373981941,6063.719350471364123,,4728.567236539511214,3707.680462198887199,16976.061209734143631,3407.828004424409301,3742.388016304869325,3407.828004424409301,709644.250043906271458,946716.166117120534182,14249.3833973112
74,7.000000000000000,503992.857142857159488,46494.285714285717404,7749.142857142856883,1987.142857142857110,2034.142857142857110,0.000000000000000,1136.513739954635412,93217.782314838535967,1500.046711620541146,,13060.404105511161106,12813.591735674057418,8733.005377299557949,2736.531414441558354,16256.222339538002416,2736.531414441558354,724079.916710573714226,932509.740953911095858,26454.5923563023
75,3.000000000000000,559046.666666666627862,67513.333333333328483,9644.666666666666060,1966.666666666666742,2178.333333333333485,0.000000000000000,1136.514068037537982,93217.836134053621208,1840.285461817344867,,8600.284328080340856,8592.434263423137963,9266.528050445254848,18080.458164008716267,1708.657752968726754,1708.657752968726754,723259.708377238828689,954387.635609379503876,4578.83026327154
76,3.000000000000000,502560.000000000000000,42273.333333333335759,2113.666666666666515,2022.000000000000000,1909.333333333333258,0.000000000000000,1136.513739954635412,93217.782314838535967,2677.506508160103749,,2846.736154740337042,2610.362408704853351,14203.239170737910172,10241.590984934488006,5943.148801736224414,5943.148801736224414,719158.666710573714226,942170.110084578278475,16387.1673088234
77,11.000000000000000,327305.454545454529580,23565.454545454544132,2830.636363636363512,1984.000000000000000,1505.909090909090992,0.000000000000000,1136.514068024633389,93217.836131936695892,3212.942493011218630,,16023.785539077136491,15927.907786142775876,6103.155009152166713,1988.626211313104932,18247.865331352888461,1988.626211313104932,722931.625043906271458,929384.327494194265455,29509.962396945
78,7.000000000000000,329497.142857142840512,16465.714285714286234,8233.000000000000000,1961.285714285714221,1436.571428571428669,0.000000000000000,1136.514396106913182,93217.889951151781133,7565.276653916941541,,2252.079634513987912,1697.151919042365080,15893.647981251520832,1455.772225086191611,2102.726457104167366,1455.772225086191611,708167.875043906271458,944727.266551619395614,16723.4718772698
79,7.000000000000000,589510.000000000000000,60474.285714285717404,4031.428571428571558,1986.428571428571331,2122.428571428571558,0.000000000000000,1136.514396106913182,93217.889951151781133,3281.500290901707558,,12246.732914455473292,12246.732914455473292,11277.623942140775398,19988.074718092775584,5354.584279864496239,5354.584279864496239,722439.500043906271458,958081.306116452440619,830.914320195891
